Client: admin | Type=0x10 | Length=5 | Value="Hello"
Client: admin | Type=0x10 | Length=5 | Value="Hello"
Client: admin | Type=0x10 | Length=5 | Value="hello"
Client: admin | Type=0x10 | Length=5 | Value="hello"
Client: admin | Type=0x10 | Length=9 | Value="namnguyen"
Client: admin | Type=0x10 | Length=9 | Value="namnguyen"
Client: admin | Type=0x10 | Length=7 | Value="is here"
Client: admin | Type=0x10 | Length=7 | Value="is here"
Client: admin | Type=0x10 | Length=21 | Value="admin da vao he thong"
Client: admin | Type=0x10 | Length=19 | Value="de lai tin nhan 123"
