CHILD: 77287 | Client: locdinh | Type=0x10 | Length=3 | Value="bye"
CHILD: 77425 | Client: namnk | Type=0x10 | Length=3 | Value="bye"
CHILD: 74932 | Client: admin | Type=0x10 | Length=3 | Value="bye"
CHILD: 156360 | Client: namnk | Type=0x10 | Length=5 | Value="hello"
CHILD: 156360 | Client: namnk | Type=0x10 | Length=2 | Value="ok"
CHILD: 156360 | Client: namnk | Type=0x10 | Length=5 | Value="hello"
CHILD: 156360 | Client: namnk | Type=0x10 | Length=4 | Value="okok"
CHILD: 156360 | Client: namnk | Type=0x10 | Length=2 | Value="ok"
CHILD: 156360 | Client: namnk | Type=0x10 | Length=3 | Value="bye"
